"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","TinyCOCALITE","TinyCOCALITETime","TinyCOCALITETime-4","TinyCOCALITETime-3","TinyCOCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"SemgHandGenderCh2",0.849666666666667,0.834333333333333,0.849,0.875,0.871666666666667,0.869,0.862333333333333,0.863333333333333,0.846666666666667,0.833666666666666,0.820666666666667
"SemgHandMovementCh2",0.492,0.437111111111111,0.464,0.548888888888889,0.536444444444444,0.516888888888889,0.500222222222222,0.546666666666667,0.473333333333333,0.454666666666667,0.406666666666667
"SemgHandSubjectCh2",0.777777777777778,0.793333333333333,0.794222222222222,0.82,0.817333333333333,0.813333333333333,0.81,0.784444444444445,0.813333333333333,0.757777777777778,0.763555555555556
"ShakeGestureWiimoteZ",0.908,0.912,0.916,0.92,0.924,0.92,0.916,0.86,0.94,0.892,0.888
"ShapeletSim",0.707777777777778,0.973333333333333,0.926666666666666,0.972222222222222,0.972222222222222,0.958333333333333,0.952777777777778,0.727777777777778,0.988888888888889,0.686666666666667,0.95
"ShapesAll",0.8905,0.886833333333333,0.895666666666667,0.916666666666667,0.915,0.913833333333333,0.910666666666666,0.908333333333333,0.901666666666667,0.868,0.866333333333333
"SmallKitchenAppliances",0.761333333333333,0.7712,0.776,0.786666666666667,0.7808,0.779466666666667,0.776533333333333,0.768,0.778666666666667,0.7552,0.755733333333333
"SmoothSubspace",0.988666666666667,0.969333333333333,0.984,0.986666666666667,0.986666666666667,0.987333333333333,0.986,0.986666666666667,0.973333333333333,0.990666666666666,0.946666666666667
"SonyAIBORobotSurface1",0.828785357737105,0.899001663893511,0.868885191347754,0.871880199667221,0.870216306156406,0.86955074875208,0.869051580698835,0.826955074875208,0.908485856905158,0.828951747088186,0.890848585690516
"SonyAIBORobotSurface2",0.92707240293809,0.863903462749213,0.842812172088143,0.931794333683106,0.932843651626443,0.931794333683106,0.908919202518363,0.928646379853095,0.907660020986359,0.925288562434418,0.837565582371459
"StarLightCurves",0.974817872753764,0.975837785332686,0.975692083535697,0.976930548810102,0.977416221466731,0.977452646915979,0.977039825157843,0.976323457989315,0.977537639630889,0.971879553181156,0.973190869354055
"Strawberry",0.98054054054054,0.972162162162162,0.975135135135135,0.981081081081081,0.98,0.97972972972973,0.979189189189189,0.981081081081081,0.97027027027027,0.978918918918919,0.962702702702703
"SwedishLeaf",0.9648,0.94944,0.95616,0.9712,0.97024,0.96928,0.96656,0.968,0.9568,0.95072,0.93536
"Symbols",0.985226130653266,0.969045226130653,0.977286432160804,0.979899497487437,0.980100502512563,0.979195979899497,0.978090452261307,0.984924623115578,0.9678391959799,0.982311557788945,0.965226130653266
"SyntheticControl",0.999,0.996,0.998,0.996666666666667,0.996666666666667,0.997,0.997333333333333,0.996666666666667,0.996666666666667,0.996666666666667,0.995333333333333
"ToeSegmentation1",0.980263157894737,0.950438596491228,0.958771929824561,0.960526315789474,0.957894736842105,0.958333333333333,0.960526315789474,0.978070175438596,0.951754385964912,0.978947368421053,0.942982456140351
"ToeSegmentation2",0.92,0.930769230769231,0.921538461538462,0.923076923076923,0.923076923076923,0.926153846153846,0.925384615384616,0.915384615384615,0.930769230769231,0.923076923076923,0.923076923076923
"Trace",1,1,1,1,1,1,1,1,1,1,1
"TwoLeadECG",0.995961369622476,0.99350307287094,0.996312554872695,0.998244073748903,0.997541703248464,0.996927129060579,0.996927129060579,0.995610184372256,0.997366110623354,0.995258999122037,0.989113257243196
"TwoPatterns",1,1,1,1,1,1,1,1,1,0.99995,1
"UMD",0.960416666666667,0.986805555555555,0.976388888888889,0.986111111111111,0.986111111111111,0.984027777777778,0.983333333333333,0.965277777777778,0.993055555555556,0.961111111111111,0.980555555555556
"UWaveGestureLibraryAll",0.888246789503071,0.901367950865438,0.899050809603573,0.916527079843663,0.917587939698493,0.916275823562256,0.912339475153546,0.903685092127303,0.915410385259631,0.864433277498604,0.879061976549414
"UWaveGestureLibraryX",0.814489112227806,0.799413735343384,0.805415968732552,0.835845896147404,0.831825795644891,0.827889447236181,0.821217197096594,0.829145728643216,0.818537130094919,0.794584031267448,0.777331099944165
"UWaveGestureLibraryY",0.72822445561139,0.716387493020659,0.721831379117811,0.759910664433277,0.758738135120045,0.754466778336125,0.74606365159129,0.751535455053043,0.738414293690676,0.699832495812395,0.685650474595198
"UWaveGestureLibraryZ",0.770295924064768,0.741401451702959,0.756002233389168,0.787269681742044,0.784254606365159,0.781295365717476,0.775767727526522,0.78894472361809,0.76465661641541,0.748464544946957,0.71680625348967
"Wafer",0.999286177806619,0.9989941596366,0.999221284879948,0.999026606099935,0.999026606099935,0.999123945489942,0.999140168721609,0.999188838416612,0.999026606099935,0.9989941596366,0.998896820246593
"Wine",0.696296296296296,0.775925925925926,0.748148148148148,0.740740740740741,0.744444444444444,0.755555555555556,0.762962962962963,0.722222222222222,0.777777777777778,0.696296296296296,0.759259259259259
"WordSynonyms",0.661128526645768,0.658150470219436,0.660815047021943,0.713166144200627,0.712225705329154,0.704858934169279,0.693887147335423,0.697492163009404,0.684952978056426,0.628213166144201,0.626959247648903
"Worms",0.823376623376623,0.77012987012987,0.8,0.831168831168831,0.828571428571429,0.828571428571429,0.818181818181818,0.831168831168831,0.805194805194805,0.818181818181818,0.758441558441558
"WormsTwoClass",0.787012987012987,0.745454545454545,0.768831168831169,0.766233766233766,0.771428571428572,0.774025974025974,0.77012987012987,0.792207792207792,0.753246753246753,0.776623376623377,0.714285714285714
"Yoga",0.9175,0.904966666666667,0.908733333333333,0.919666666666667,0.920266666666667,0.918933333333333,0.917133333333333,0.924333333333333,0.910666666666667,0.9038,0.890533333333334
