"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","COCALITE","COCALITETime","COCALITETime-4","COCALITETime-3","COCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"EOGHorizontalSignal",0.593370165745856,0.602209944751381,0.616022099447514,0.638121546961326,0.63646408839779,0.630662983425414,0.630386740331492,0.596685082872928,0.61878453038674,0.585635352134705,0.591712701320648
"EOGVerticalSignal",0.398066298342541,0.457458563535912,0.43646408839779,0.453038674033149,0.455801104972376,0.451933701657459,0.449447513812155,0.419889502762431,0.466850828729282,0.385082882642746,0.438121551275253
"EthanolLevel",0.747,0.5498,0.6156,0.762,0.7572,0.75,0.7302,0.756,0.656,0.723599994182587,0.523199993371964
"FaceAll",0.798875739644971,0.876094674556213,0.83207100591716,0.820118343195266,0.823431952662722,0.822011834319527,0.824497041420118,0.797633136094675,0.888165680473373,0.796568036079407,0.866508877277374
"FaceFour",0.952272727272727,0.869318181818182,0.911363636363636,0.954545454545455,0.952272727272727,0.945454545454546,0.936363636363637,0.954545454545455,0.852272727272727,0.952272713184357,0.847727274894714
"FacesUCR",0.962439024390244,0.961414634146341,0.962048780487805,0.968292682926829,0.968292682926829,0.967121951219512,0.966048780487805,0.964878048780488,0.965365853658536,0.95746339559555,0.955609738826752
"FiftyWords",0.797802197802198,0.775384615384615,0.789010989010989,0.8,0.798681318681319,0.80021978021978,0.797582417582418,0.808791208791209,0.797802197802198,0.778021991252899,0.755604410171509
"Fish",0.985142857142857,0.979428571428571,0.980571428571429,0.982857142857143,0.981714285714286,0.981142857142857,0.980571428571429,0.988571428571428,0.982857142857143,0.982857143878937,0.974857151508331
"FordA",0.953787878787879,0.956060606060606,0.957121212121212,0.959848484848485,0.959393939393939,0.959015151515152,0.958030303030303,0.956818181818182,0.959848484848485,0.949545443058014,0.9518181681633
"FordB",0.857283950617284,0.844197530864198,0.850864197530864,0.855555555555556,0.856049382716049,0.854814814814815,0.854444444444444,0.854320987654321,0.848148148148148,0.847160506248474,0.836543202400208
"FreezerRegularTrain",0.997894736842105,0.997684210526316,0.998035087719298,0.99859649122807,0.998456140350877,0.998421052631579,0.998315789473684,0.997894736842105,0.998245614035088,0.997894740104675,0.997684216499329
"FreezerSmallTrain",0.94680701754386,0.859122807017544,0.905684210526316,0.905614035087719,0.905824561403509,0.905894736842105,0.905964912280702,0.949824561403509,0.860701754385965,0.941684222221375,0.859368419647217
"Fungi",0.999462365591398,1,1,1,1,1,1,1,1,0.997849464416504,1
"GestureMidAirD1",0.735384615384615,0.717692307692308,0.723076923076923,0.738461538461539,0.747692307692308,0.746153846153846,0.739230769230769,0.730769230769231,0.738461538461539,0.739999997615814,0.698461532592773
"GestureMidAirD2",0.69,0.643846153846154,0.663076923076923,0.684615384615385,0.68,0.676153846153846,0.676923076923077,0.707692307692308,0.661538461538462,0.676923084259033,0.62615385055542
"GestureMidAirD3",0.402307692307692,0.384615384615385,0.404615384615385,0.438461538461538,0.427692307692308,0.42,0.417692307692308,0.392307692307692,0.407692307692308,0.393846160173416,0.380000007152557
"GesturePebbleZ1",0.915697674418605,0.918023255813954,0.919767441860465,0.924418604651163,0.925581395348837,0.924418604651163,0.922093023255814,0.912790697674419,0.924418604651163,0.912790715694428,0.916279089450836
"GesturePebbleZ2",0.906962025316456,0.896835443037975,0.90253164556962,0.905063291139241,0.90379746835443,0.903164556962025,0.901898734177215,0.905063291139241,0.905063291139241,0.90253164768219,0.889873421192169
"GunPoint",1,0.997333333333333,0.998666666666666,1,1,1,1,1,1,1,0.997333335876465
"GunPointAgeSpan",0.991772151898734,0.991772151898734,0.991139240506329,0.993670886075949,0.993037974683544,0.99367088607595,0.992721518987342,0.990506329113924,0.990506329113924,0.991772150993347,0.991139245033264
"GunPointMaleVersusFemale",0.992721518987342,0.996518987341772,0.994936708860759,0.996835443037975,0.996835443037975,0.996835443037975,0.995569620253165,0.993670886075949,0.996835443037975,0.991772162914276,0.996835458278656
"GunPointOldVersusYoung",0.976507936507936,0.972063492063492,0.976507936507936,0.977777777777778,0.977777777777778,0.976507936507936,0.975555555555555,0.977777777777778,0.971428571428571,0.974603176116943,0.968888890743255
"Ham",0.754285714285714,0.711428571428572,0.723809523809524,0.723809523809524,0.721904761904762,0.717142857142857,0.724761904761905,0.752380952380952,0.695238095238095,0.750476205348969,0.712380969524384
"HandOutlines",0.955405405405405,0.93972972972973,0.944864864864865,0.956756756756757,0.952972972972973,0.951081081081081,0.948378378378379,0.962162162162162,0.948648648648649,0.943783783912659,0.929189193248749
"Haptics",0.546428571428571,0.500974025974026,0.525974025974026,0.564935064935065,0.559090909090909,0.554220779220779,0.544805194805195,0.574675324675325,0.506493506493506,0.526623368263245,0.489610385894775
"Herring",0.728125,0.6171875,0.665625,0.71875,0.69375,0.690625,0.6796875,0.734375,0.625,0.703125,0.64375
"HouseTwenty",0.979831932773109,0.984033613445378,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.978151261806488,0.984873950481415
"InlineSkate",0.539272727272727,0.511272727272727,0.524363636363636,0.556363636363636,0.554545454545454,0.549636363636364,0.543272727272727,0.545454545454545,0.530909090909091,0.531272721290588,0.497090911865234
"InsectEPGRegularTrain",0.999196787148594,1,1,1,1,1,1,1,1,0.99839358329773,0.999196791648865
